model;base;tempo_treino;tempo_pred;full_retrain;accuracy_test;accuracy_test_diff;accuracy_train;accuracy_val;img_size;seed;precision_COVID-19;recall_COVID-19;f1_COVID-19;precision_Normal;recall_Normal;f1_Normal;precision_Opacity;recall_Opacity;f1_Opacity;Class_Repo_Train;Class_Repo_Val;Class_Repo_Test;Class_Repo_Test_diff;F_Score_Train;F_Score_Val;F_Score_Test;F_Score_Test_diff;confusion_matrix_train;confusion_matrix_val;confusion_matrix_test;confusion_matrix_test_diff;epochs;augmentation;dropout;opt;base_learn_rate;id
cache/tl_vgg16_finetune.h5;Cohen-RICORD-Kaggle-RSNA-Segmented;16085.75938630104;10.950587511062622;True;0.9052307692307692;0.5243564356435644;0.9978325123152708;0.9070133963750984;(300, 300, 3);587;0.9229357798165138;0.9145454545454546;0.9187214611872146;0.8933333333333333;0.95131845841785;0.9214145383104124;0.8990990990990991;0.8573883161512027;0.8777484608619174;{'Opacity': {'precision': 0.9988726042841037, 'recall': 0.9960652051714446, 'f1-score': 0.9974669293554742, 'support': 1779}, 'COVID-19': {'precision': 0.9968533668974198, 'recall': 0.9987389659520807, 'f1-score': 0.9977952755905511, 'support': 1586}, 'Normal': {'precision': 0.9976635514018691, 'recall': 0.9988304093567252, 'f1-score': 0.9982466393921683, 'support': 1710}, 'accuracy': 0.9978325123152709, 'macro avg': {'precision': 0.9977965075277976, 'recall': 0.9978781934934169, 'f1-score': 0.9978362814460645, 'support': 5075}, 'weighted avg': {'precision': 0.9978341824271773, 'recall': 0.9978325123152709, 'f1-score': 0.997832261629677, 'support': 5075}};{'Opacity': {'precision': 0.8964646464646465, 'recall': 0.8513189448441247, 'f1-score': 0.8733087330873309, 'support': 417}, 'COVID-19': {'precision': 0.9227272727272727, 'recall': 0.9290617848970252, 'f1-score': 0.9258836944127709, 'support': 437}, 'Normal': {'precision': 0.9006928406466512, 'recall': 0.9397590361445783, 'f1-score': 0.9198113207547169, 'support': 415}, 'accuracy': 0.9070133963750985, 'macro avg': {'precision': 0.9066282532795235, 'recall': 0.9067132552952427, 'f1-score': 0.9063345827516063, 'support': 1269}, 'weighted avg': {'precision': 0.9068913354026289, 'recall': 0.9070133963750985, 'f1-score': 0.9066214454444487, 'support': 1269}};{'Opacity': {'precision': 0.8990990990990991, 'recall': 0.8573883161512027, 'f1-score': 0.8777484608619174, 'support': 582}, 'COVID-19': {'precision': 0.9229357798165138, 'recall': 0.9145454545454546, 'f1-score': 0.9187214611872146, 'support': 550}, 'Normal': {'precision': 0.8933333333333333, 'recall': 0.9513184584178499, 'f1-score': 0.9214145383104125, 'support': 493}, 'accuracy': 0.9052307692307693, 'macro avg': {'precision': 0.9051227374163154, 'recall': 0.9077507430381692, 'f1-score': 0.9059614867865148, 'support': 1625}, 'weighted avg': {'precision': 0.905417654097287, 'recall': 0.9052307692307693, 'f1-score': 0.9048638616994691, 'support': 1625}};{'Opacity': {'precision': 0.8581765557163531, 'recall': 0.4489023467070401, 'f1-score': 0.5894632206759444, 'support': 1321}, 'COVID-19': {'precision': 0.3970336565887051, 'recall': 0.9317269076305221, 'f1-score': 0.5568000000000001, 'support': 747}, 'Normal': {'precision': 0.43209876543209874, 'recall': 0.07658643326039387, 'f1-score': 0.13011152416356878, 'support': 457}, 'accuracy': 0.5243564356435644, 'macro avg': {'precision': 0.5624363259123856, 'recall': 0.485738562532652, 'f1-score': 0.42545824827983775, 'support': 2525}, 'weighted avg': {'precision': 0.6446354484655581, 'recall': 0.5243564356435644, 'f1-score': 0.49666197269531626, 'support': 2525}};(0.9977965075277976, 0.9978781934934169, 0.9978362814460645, None);(0.9066282532795235, 0.9067132552952427, 0.9063345827516063, None);(0.9051227374163154, 0.9077507430381692, 0.9059614867865148, None);(0.5624363259123856, 0.485738562532652, 0.42545824827983775, None);"[[1772    3    4]
 [   2 1584    0]
 [   0    2 1708]]";"[[355  28  34]
 [ 22 406   9]
 [ 19   6 390]]";"[[499  35  48]
 [ 39 503   8]
 [ 17   7 469]]";"[[593 715  13]
 [ 18 696  33]
 [ 80 342  35]]";150;simple;0.5;Adam;0.001;2
cache/tl_vgg16_finetune.h5;Cohen-RICORD-Kaggle-RSNA-Segmented;16085.591359853745;10.64575695991516;True;0.8963337547408344;0.5061192262139755;0.9616363280485418;0.9123630672926448;(300, 300, 3);587;0.917004048582996;0.897029702970297;0.9069069069069068;0.9163346613545816;0.9126984126984128;0.9145129224652088;0.8617747440273038;0.881326352530541;0.8714408973252804;{'Opacity': {'precision': 0.9376739009460211, 'recall': 0.9595671981776766, 'f1-score': 0.9484942302279764, 'support': 1756}, 'COVID-19': {'precision': 0.9770253929866989, 'recall': 0.9682444577591373, 'f1-score': 0.9726151068311767, 'support': 1669}, 'Normal': {'precision': 0.9722557297949337, 'recall': 0.9572446555819477, 'f1-score': 0.9646918013165768, 'support': 1684}, 'accuracy': 0.9616363280485418, 'macro avg': {'precision': 0.9623183412425513, 'recall': 0.9616854371729205, 'f1-score': 0.96193371279191, 'support': 5109}, 'weighted avg': {'precision': 0.9619278527952011, 'recall': 0.9616363280485418, 'f1-score': 0.96171295263235, 'support': 5109}};{'Opacity': {'precision': 0.87527352297593, 'recall': 0.89086859688196, 'f1-score': 0.8830022075055187, 'support': 449}, 'COVID-19': {'precision': 0.9328358208955224, 'recall': 0.9398496240601504, 'f1-score': 0.9363295880149812, 'support': 399}, 'Normal': {'precision': 0.9331742243436754, 'recall': 0.9093023255813953, 'f1-score': 0.9210836277974086, 'support': 430}, 'accuracy': 0.9123630672926447, 'macro avg': {'precision': 0.9137611894050425, 'recall': 0.913340182174502, 'f1-score': 0.9134718077726361, 'support': 1278}, 'weighted avg': {'precision': 0.9127263073718985, 'recall': 0.9123630672926447, 'f1-score': 0.9124643636469805, 'support': 1278}};{'Opacity': {'precision': 0.8617747440273038, 'recall': 0.881326352530541, 'f1-score': 0.8714408973252804, 'support': 573}, 'COVID-19': {'precision': 0.917004048582996, 'recall': 0.897029702970297, 'f1-score': 0.9069069069069069, 'support': 505}, 'Normal': {'precision': 0.9163346613545816, 'recall': 0.9126984126984127, 'f1-score': 0.9145129224652087, 'support': 504}, 'accuracy': 0.8963337547408344, 'macro avg': {'precision': 0.8983711513216271, 'recall': 0.8970181560664169, 'f1-score': 0.8976202422324654, 'support': 1582}, 'weighted avg': {'precision': 0.8967867523291828, 'recall': 0.8963337547408344, 'f1-score': 0.8964842826029322, 'support': 1582}};{'Opacity': {'precision': 0.7737617135207496, 'recall': 0.45120999219359875, 'f1-score': 0.5700197238658777, 'support': 1281}, 'COVID-19': {'precision': 0.39467592592592593, 'recall': 0.9021164021164021, 'f1-score': 0.5491143317230274, 'support': 756}, 'Normal': {'precision': 0.3793103448275862, 'recall': 0.04435483870967742, 'f1-score': 0.07942238267148014, 'support': 496}, 'accuracy': 0.5061192262139755, 'macro avg': {'precision': 0.5159159947580872, 'recall': 0.4658937443398928, 'f1-score': 0.39951881275346174, 'support': 2533}, 'weighted avg': {'precision': 0.583380057660704, 'recall': 0.5061192262139755, 'f1-score': 0.46771385821549644, 'support': 2533}};(0.9623183412425513, 0.9616854371729205, 0.96193371279191, None);(0.9137611894050425, 0.913340182174502, 0.9134718077726361, None);(0.8983711513216271, 0.8970181560664169, 0.8976202422324654, None);(0.5159159947580872, 0.4658937443398928, 0.39951881275346174, None);"[[1685   32   39]
 [  46 1616    7]
 [  66    6 1612]]";"[[400  24  25]
 [ 21 375   3]
 [ 36   3 391]]";"[[505  35  33]
 [ 43 453   9]
 [ 38   6 460]]";"[[578 701   2]
 [ 40 682  34]
 [129 345  22]]";150;simple;0.5;Adam;0.001;3
cache/tl_vgg16_finetune.h5;Cohen-RICORD-Kaggle-RSNA-Segmented;16130.497334003448;10.44352102279663;True;0.8918053777208707;0.5585548172757475;0.9652682926829268;0.9196567862714508;(300, 300, 3);587;0.9384920634920636;0.8874296435272045;0.9122468659594986;0.8791423001949318;0.9222903885480572;0.9001996007984032;0.8605504587155963;0.8685185185185185;0.864516129032258;{'Opacity': {'precision': 0.959841628959276, 'recall': 0.9454038997214484, 'f1-score': 0.9525680606230705, 'support': 1795}, 'COVID-19': {'precision': 0.9694189602446484, 'recall': 0.9747847478474785, 'f1-score': 0.9720944495553512, 'support': 1626}, 'Normal': {'precision': 0.9668989547038328, 'recall': 0.977112676056338, 'f1-score': 0.9719789842381785, 'support': 1704}, 'accuracy': 0.9652682926829268, 'macro avg': {'precision': 0.9653865146359192, 'recall': 0.9657671078750883, 'f1-score': 0.9655471648055335, 'support': 5125}, 'weighted avg': {'precision': 0.965226687249762, 'recall': 0.9652682926829268, 'f1-score': 0.9652170600853207, 'support': 5125}};{'Opacity': {'precision': 0.9050925925925926, 'recall': 0.8826185101580135, 'f1-score': 0.8937142857142857, 'support': 443}, 'COVID-19': {'precision': 0.9439024390243902, 'recall': 0.9347826086956522, 'f1-score': 0.9393203883495145, 'support': 414}, 'Normal': {'precision': 0.9113636363636364, 'recall': 0.9435294117647058, 'f1-score': 0.9271676300578033, 'support': 425}, 'accuracy': 0.9196567862714509, 'macro avg': {'precision': 0.9201195559935398, 'recall': 0.9203101768727905, 'f1-score': 0.9200674347072012, 'support': 1282}, 'weighted avg': {'precision': 0.9197045036888936, 'recall': 0.9196567862714509, 'f1-score': 0.919532224744691, 'support': 1282}};{'Opacity': {'precision': 0.8605504587155963, 'recall': 0.8685185185185185, 'f1-score': 0.864516129032258, 'support': 540}, 'COVID-19': {'precision': 0.9384920634920635, 'recall': 0.8874296435272045, 'f1-score': 0.9122468659594986, 'support': 533}, 'Normal': {'precision': 0.8791423001949318, 'recall': 0.9222903885480572, 'f1-score': 0.9001996007984032, 'support': 489}, 'accuracy': 0.8918053777208707, 'macro avg': {'precision': 0.8927282741341972, 'recall': 0.8927461835312601, 'f1-score': 0.8923208652633866, 'support': 1562}, 'weighted avg': {'precision': 0.8929667748674862, 'recall': 0.8918053777208707, 'f1-score': 0.8919743239591879, 'support': 1562}};{'Opacity': {'precision': 0.7960199004975125, 'recall': 0.53156146179402, 'f1-score': 0.6374501992031874, 'support': 1204}, 'COVID-19': {'precision': 0.4368868541530412, 'recall': 0.9100817438692098, 'f1-score': 0.5903667697746354, 'support': 734}, 'Normal': {'precision': 0.49333333333333335, 'recall': 0.07872340425531915, 'f1-score': 0.13577981651376148, 'support': 470}, 'accuracy': 0.5585548172757475, 'macro avg': {'precision': 0.5754133626612957, 'recall': 0.5067888699728497, 'f1-score': 0.45453226183052803, 'support': 2408}, 'weighted avg': {'precision': 0.6274707549061478, 'recall': 0.5585548172757475, 'f1-score': 0.5251809645418138, 'support': 2408}};(0.9653865146359192, 0.9657671078750883, 0.9655471648055335, None);(0.9201195559935398, 0.9203101768727905, 0.9200674347072012, None);(0.8927282741341972, 0.8927461835312601, 0.8923208652633866, None);(0.5754133626612957, 0.5067888699728497, 0.45453226183052803, None);"[[1697   48   50]
 [  34 1585    7]
 [  37    2 1665]]";"[[391  19  33]
 [ 21 387   6]
 [ 20   4 401]]";"[[469  23  48]
 [ 46 473  14]
 [ 30   8 451]]";"[[640 560   4]
 [ 32 668  34]
 [132 301  37]]";150;simple;0.5;Adam;0.001;1
cache/tl_vgg16_finetune.h5;Cohen-RICORD-Kaggle-RSNA-Segmented;15814.988276958466;11.124373197555542;True;0.8977135980746089;0.464828137490008;0.999207135777998;0.93026941362916;(300, 300, 3);587;0.9140350877192982;0.9221238938053096;0.9180616740088104;0.9135338345864662;0.9;0.9067164179104478;0.8660714285714286;0.8707360861759426;0.8683974932855864;{'Opacity': {'precision': 0.9977666108319375, 'recall': 1.0, 'f1-score': 0.9988820570150924, 'support': 1787}, 'COVID-19': {'precision': 1.0, 'recall': 0.9993792675356921, 'f1-score': 0.999689537410742, 'support': 1611}, 'Normal': {'precision': 1.0, 'recall': 0.9981785063752276, 'f1-score': 0.999088422971741, 'support': 1647}, 'accuracy': 0.999207135777998, 'macro avg': {'precision': 0.9992555369439792, 'recall': 0.9991859246369733, 'f1-score': 0.9992200057991919, 'support': 5045}, 'weighted avg': {'precision': 0.9992089065523633, 'recall': 0.999207135777998, 'f1-score': 0.9992072771633564, 'support': 5045}};{'Opacity': {'precision': 0.9107551487414187, 'recall': 0.9170506912442397, 'f1-score': 0.9138920780711824, 'support': 434}, 'COVID-19': {'precision': 0.9460154241645244, 'recall': 0.9269521410579346, 'f1-score': 0.9363867684478371, 'support': 397}, 'Normal': {'precision': 0.9357798165137615, 'recall': 0.9466357308584686, 'f1-score': 0.9411764705882353, 'support': 431}, 'accuracy': 0.93026941362916, 'macro avg': {'precision': 0.9308501298065682, 'recall': 0.930212854386881, 'f1-score': 0.9304851057024184, 'support': 1262}, 'weighted avg': {'precision': 0.9303937867389248, 'recall': 0.93026941362916, 'f1-score': 0.9302866622664135, 'support': 1262}};{'Opacity': {'precision': 0.8660714285714286, 'recall': 0.8707360861759426, 'f1-score': 0.8683974932855864, 'support': 557}, 'COVID-19': {'precision': 0.9140350877192982, 'recall': 0.9221238938053097, 'f1-score': 0.9180616740088104, 'support': 565}, 'Normal': {'precision': 0.9135338345864662, 'recall': 0.9, 'f1-score': 0.9067164179104478, 'support': 540}, 'accuracy': 0.8977135980746089, 'macro avg': {'precision': 0.8978801169590643, 'recall': 0.897619993327084, 'f1-score': 0.8977251950682815, 'support': 1662}, 'weighted avg': {'precision': 0.897797762305885, 'recall': 0.8977135980746089, 'f1-score': 0.8977311162735808, 'support': 1662}};{'Opacity': {'precision': 0.8772277227722772, 'recall': 0.34261407579273007, 'f1-score': 0.49276974416017805, 'support': 1293}, 'COVID-19': {'precision': 0.35621424856994277, 'recall': 0.9307065217391305, 'f1-score': 0.515231289958631, 'support': 736}, 'Normal': {'precision': 0.47297297297297297, 'recall': 0.07399577167019028, 'f1-score': 0.12797074954296161, 'support': 473}, 'accuracy': 0.464828137490008, 'macro avg': {'precision': 0.5688049814383976, 'recall': 0.44910545640068356, 'f1-score': 0.37865726122059024, 'support': 2502}, 'weighted avg': {'precision': 0.6475401073973815, 'recall': 0.464828137490008, 'f1-score': 0.43041233938548507, 'support': 2502}};(0.9992555369439792, 0.9991859246369733, 0.9992200057991919, None);(0.9308501298065682, 0.930212854386881, 0.9304851057024184, None);(0.8978801169590643, 0.897619993327084, 0.8977251950682815, None);(0.5688049814383976, 0.44910545640068356, 0.37865726122059024, None);"[[1787    0    0]
 [   1 1610    0]
 [   3    0 1644]]";"[[398  16  20]
 [ 21 368   8]
 [ 18   5 408]]";"[[485  41  31]
 [ 29 521  15]
 [ 46   8 486]]";"[[443 844   6]
 [ 18 685  33]
 [ 44 394  35]]";150;simple;0.5;Adam;0.001;4
cache/tl_vgg16_finetune.h5;Cohen-RICORD-Kaggle-RSNA-Segmented;16098.218804836271;10.380230188369753;True;0.8932729624838293;0.3759036144578313;0.8978201634877384;0.8933852140077821;(300, 300, 3);587;0.8717948717948718;0.9057377049180328;0.8884422110552764;0.9142857142857144;0.9218106995884774;0.9180327868852458;0.8943533697632058;0.8583916083916084;0.8760035682426404;{'Opacity': {'precision': 0.8664772727272727, 'recall': 0.863533408833522, 'f1-score': 0.8650028360748724, 'support': 1766}, 'COVID-19': {'precision': 0.8898500576701269, 'recall': 0.9261704681872749, 'f1-score': 0.9076470588235294, 'support': 1666}, 'Normal': {'precision': 0.9397810218978102, 'recall': 0.9056271981242673, 'f1-score': 0.9223880597014925, 'support': 1706}, 'accuracy': 0.8978201634877384, 'macro avg': {'precision': 0.8987027840984032, 'recall': 0.8984436917150215, 'f1-score': 0.8983459848666314, 'support': 5138}, 'weighted avg': {'precision': 0.8983953840156597, 'recall': 0.8978201634877384, 'f1-score': 0.8978842036510257, 'support': 5138}};{'Opacity': {'precision': 0.8480176211453745, 'recall': 0.875, 'f1-score': 0.8612975391498882, 'support': 440}, 'COVID-19': {'precision': 0.9093078758949881, 'recall': 0.9093078758949881, 'f1-score': 0.9093078758949881, 'support': 419}, 'Normal': {'precision': 0.9271844660194175, 'recall': 0.8967136150234741, 'f1-score': 0.9116945107398567, 'support': 426}, 'accuracy': 0.8933852140077821, 'macro avg': {'precision': 0.8948366543532599, 'recall': 0.8936738303061541, 'f1-score': 0.8940999752615776, 'support': 1285}, 'weighted avg': {'precision': 0.8942477321620519, 'recall': 0.8933852140077821, 'f1-score': 0.8936597500397897, 'support': 1285}};{'Opacity': {'precision': 0.8943533697632058, 'recall': 0.8583916083916084, 'f1-score': 0.8760035682426404, 'support': 572}, 'COVID-19': {'precision': 0.8717948717948718, 'recall': 0.9057377049180327, 'f1-score': 0.8884422110552764, 'support': 488}, 'Normal': {'precision': 0.9142857142857143, 'recall': 0.9218106995884774, 'f1-score': 0.9180327868852458, 'support': 486}, 'accuracy': 0.8932729624838293, 'macro avg': {'precision': 0.893477985281264, 'recall': 0.8953133376327062, 'f1-score': 0.8941595220610541, 'support': 1546}, 'weighted avg': {'precision': 0.893498630066823, 'recall': 0.8932729624838293, 'f1-score': 0.8931421568279396, 'support': 1546}};{'Opacity': {'precision': 0.8363636363636363, 'recall': 0.22150882825040127, 'f1-score': 0.3502538071065989, 'support': 1246}, 'COVID-19': {'precision': 0.3107721639656816, 'recall': 0.8739946380697051, 'f1-score': 0.45850914205344584, 'support': 746}, 'Normal': {'precision': 0.12903225806451613, 'recall': 0.01606425702811245, 'f1-score': 0.028571428571428564, 'support': 498}, 'accuracy': 0.3759036144578313, 'macro avg': {'precision': 0.42538935279794465, 'recall': 0.3705225744494063, 'f1-score': 0.27911145924382447, 'support': 2490}, 'weighted avg': {'precision': 0.5374309998970355, 'recall': 0.3759036144578313, 'f1-score': 0.31835045584548766, 'support': 2490}};(0.8987027840984032, 0.8984436917150215, 0.8983459848666314, None);(0.8948366543532599, 0.8936738303061541, 0.8940999752615776, None);(0.893477985281264, 0.8953133376327062, 0.8941595220610541, None);(0.42538935279794465, 0.3705225744494063, 0.27911145924382447, None);"[[1525  160   81]
 [ 105 1543   18]
 [ 130   31 1545]]";"[[385  30  25]
 [ 33 381   5]
 [ 36   8 382]]";"[[491  54  27]
 [ 31 442  15]
 [ 27  11 448]]";"[[276 970   0]
 [ 40 652  54]
 [ 14 476   8]]";150;simple;0.5;Adam;0.001;5
cache/tl_vgg16_finetune.h5;Cohen-RICORD-Kaggle-RSNA-Segmented;16133.58371901512;11.045382976531982;True;0.8864468864468864;0.516179952644041;0.9984202211690364;0.9194948697711128;(300, 300, 3);587;0.8833333333333333;0.9085714285714286;0.895774647887324;0.8953900709219859;0.9300184162062616;0.912375790424571;0.8801498127340824;0.8245614035087719;0.8514492753623188;{'Opacity': {'precision': 1.0, 'recall': 0.9960022844089091, 'f1-score': 0.9979971387696709, 'support': 1751}, 'COVID-19': {'precision': 0.9963592233009708, 'recall': 1.0, 'f1-score': 0.998176291793313, 'support': 1642}, 'Normal': {'precision': 0.9988038277511961, 'recall': 0.9994015559545183, 'f1-score': 0.9991026024528867, 'support': 1671}, 'accuracy': 0.9984202211690363, 'macro avg': {'precision': 0.9983876836840556, 'recall': 0.9984679467878091, 'f1-score': 0.9984253443386235, 'support': 5064}, 'weighted avg': {'precision': 0.9984247710964539, 'recall': 0.9984202211690363, 'f1-score': 0.9984200058864706, 'support': 5064}};{'Opacity': {'precision': 0.9070796460176991, 'recall': 0.8971553610503282, 'f1-score': 0.9020902090209021, 'support': 457}, 'COVID-19': {'precision': 0.9243902439024391, 'recall': 0.9334975369458128, 'f1-score': 0.928921568627451, 'support': 406}, 'Normal': {'precision': 0.928395061728395, 'recall': 0.9306930693069307, 'f1-score': 0.9295426452410382, 'support': 404}, 'accuracy': 0.9194948697711128, 'macro avg': {'precision': 0.9199549838828444, 'recall': 0.9204486557676906, 'f1-score': 0.920184807629797, 'support': 1267}, 'weighted avg': {'precision': 0.9194233955743886, 'recall': 0.9194948697711128, 'f1-score': 0.9194416819752775, 'support': 1267}};{'Opacity': {'precision': 0.8801498127340824, 'recall': 0.8245614035087719, 'f1-score': 0.8514492753623188, 'support': 570}, 'COVID-19': {'precision': 0.8833333333333333, 'recall': 0.9085714285714286, 'f1-score': 0.895774647887324, 'support': 525}, 'Normal': {'precision': 0.8953900709219859, 'recall': 0.9300184162062615, 'f1-score': 0.912375790424571, 'support': 543}, 'accuracy': 0.8864468864468864, 'macro avg': {'precision': 0.8862910723298006, 'recall': 0.887717082762154, 'f1-score': 0.8865332378914047, 'support': 1638}, 'weighted avg': {'precision': 0.8862223454023599, 'recall': 0.8864468864468864, 'f1-score': 0.8858533768607503, 'support': 1638}};{'Opacity': {'precision': 0.8346883468834688, 'recall': 0.4663133989401968, 'f1-score': 0.59834871296746, 'support': 1321}, 'COVID-19': {'precision': 0.3818393480791618, 'recall': 0.9174825174825175, 'f1-score': 0.5392519523222359, 'support': 715}, 'Normal': {'precision': 0.46153846153846156, 'recall': 0.07228915662650602, 'f1-score': 0.125, 'support': 498}, 'accuracy': 0.516179952644041, 'macro avg': {'precision': 0.5593553855003641, 'recall': 0.48536169101640675, 'f1-score': 0.42086688842989856, 'support': 2534}, 'weighted avg': {'precision': 0.6335771878278676, 'recall': 0.516179952644041, 'f1-score': 0.4886479067641726, 'support': 2534}};(0.9983876836840556, 0.9984679467878091, 0.9984253443386235, None);(0.9199549838828444, 0.9204486557676906, 0.920184807629797, None);(0.8862910723298006, 0.887717082762154, 0.8865332378914047, None);(0.5593553855003641, 0.48536169101640675, 0.42086688842989856, None);"[[1744    5    2]
 [   0 1642    0]
 [   0    1 1670]]";"[[410  26  21]
 [ 19 379   8]
 [ 23   5 376]]";"[[470  55  45]
 [ 34 477  14]
 [ 30   8 505]]";"[[616 700   5]
 [ 22 656  37]
 [100 362  36]]";150;simple;0.5;Adam;0.001;6
cache/tl_vgg16_finetune.h5;Cohen-RICORD-Kaggle-RSNA-Segmented;15965.867655277252;12.719664335250854;True;0.9047013977128336;0.543677702433187;0.9707441586491262;0.9003139717425431;(300, 300, 3);587;0.9041666666666668;0.9136842105263158;0.9089005235602092;0.911275415896488;0.9266917293233082;0.918918918918919;0.8987341772151899;0.8765432098765432;0.8875;{'Opacity': {'precision': 0.9575444635685599, 'recall': 0.9636258660508084, 'f1-score': 0.9605755395683453, 'support': 1732}, 'COVID-19': {'precision': 0.9718475073313783, 'recall': 0.9868969624776652, 'f1-score': 0.9793144208037824, 'support': 1679}, 'Normal': {'precision': 0.9835866261398176, 'recall': 0.9619500594530321, 'f1-score': 0.9726480312593929, 'support': 1682}, 'accuracy': 0.9707441586491262, 'macro avg': {'precision': 0.9709928656799186, 'recall': 0.9708242959938352, 'f1-score': 0.9708459972105068, 'support': 5093}, 'weighted avg': {'precision': 0.9708603339637353, 'recall': 0.9707441586491262, 'f1-score': 0.9707401797840611, 'support': 5093}};{'Opacity': {'precision': 0.8565488565488566, 'recall': 0.9015317286652079, 'f1-score': 0.8784648187633264, 'support': 457}, 'COVID-19': {'precision': 0.9273182957393483, 'recall': 0.893719806763285, 'f1-score': 0.910209102091021, 'support': 414}, 'Normal': {'precision': 0.9263959390862944, 'recall': 0.9057071960297767, 'f1-score': 0.9159347553324968, 'support': 403}, 'accuracy': 0.9003139717425431, 'macro avg': {'precision': 0.9034210304581665, 'recall': 0.9003195771527567, 'f1-score': 0.9015362253956147, 'support': 1274}, 'weighted avg': {'precision': 0.9016406321277037, 'recall': 0.9003139717425431, 'f1-score': 0.9006332000310197, 'support': 1274}};{'Opacity': {'precision': 0.8987341772151899, 'recall': 0.8765432098765432, 'f1-score': 0.8875, 'support': 567}, 'COVID-19': {'precision': 0.9041666666666667, 'recall': 0.9136842105263158, 'f1-score': 0.9089005235602093, 'support': 475}, 'Normal': {'precision': 0.911275415896488, 'recall': 0.9266917293233082, 'f1-score': 0.918918918918919, 'support': 532}, 'accuracy': 0.9047013977128335, 'macro avg': {'precision': 0.9047254199261149, 'recall': 0.9056397165753891, 'f1-score': 0.905106480826376, 'support': 1574}, 'weighted avg': {'precision': 0.9046124310067414, 'recall': 0.9047013977128335, 'f1-score': 0.9045775816746915, 'support': 1574}};{'Opacity': {'precision': 0.8317972350230415, 'recall': 0.5396113602391629, 'f1-score': 0.6545784224841342, 'support': 1338}, 'COVID-19': {'precision': 0.39225806451612905, 'recall': 0.8941176470588236, 'f1-score': 0.5452914798206279, 'support': 680}, 'Normal': {'precision': 0.3707865168539326, 'recall': 0.06748466257668712, 'f1-score': 0.11418685121107265, 'support': 489}, 'accuracy': 0.543677702433187, 'macro avg': {'precision': 0.531613938797701, 'recall': 0.5004045566248913, 'f1-score': 0.4380189178386116, 'support': 2507}, 'weighted avg': {'precision': 0.6226544838744995, 'recall': 0.543677702433187, 'f1-score': 0.5195299185496661, 'support': 2507}};(0.9709928656799186, 0.9708242959938352, 0.9708459972105068, None);(0.9034210304581665, 0.9003195771527567, 0.9015362253956147, None);(0.9047254199261149, 0.9056397165753891, 0.905106480826376, None);(0.531613938797701, 0.5004045566248913, 0.4380189178386116, None);"[[1669   41   22]
 [  17 1657    5]
 [  57    7 1618]]";"[[412  23  22]
 [ 37 370   7]
 [ 32   6 365]]";"[[497  36  34]
 [ 27 434  14]
 [ 29  10 493]]";"[[722 605  11]
 [ 27 608  45]
 [119 337  33]]";150;simple;0.5;Adam;0.001;7
